"cluster","heatwave_type","exposure_percentile","exposure_value","af_percent","ci_low","ci_high","within_common_support","significance_symbol"
"1","compound","p25","3.115875","-5.77067015766495","-9.80345040457955","-1.88600289317467","True","**"
"1","compound","p50","7.09","-11.016295429989","-17.1716626677668","-5.18428748377755","False","***"
"1","compound","p75","15.71","-19.5404216378344","-26.577836305491","-12.8942698219539","False","***"
"1","compound","p90","29.48","-11.9746296602839","-29.0602319853134","2.84910003118112","False",""
"1","compound","p95","40.475","-8.026832873012","-19.2101193648271","2.10733213965024","False",""
"1","day","p25","1.964615625","-5.87003403202351","-11.9660172830284","-0.105946231962406","True","*"
"1","day","p50","4.64","-12.1889454018555","-24.117982972573","-1.40641322830541","True","*"
"1","day","p75","10.36","-15.2157587873261","-30.74971185072","-1.52734476459351","False","*"
"1","day","p90","20.1474","-15.409335933613","-34.774743658621","1.17351026558191","False",""
"1","day","p95","32.0085775","-8.37830217731752","-34.9272873741438","12.9467685045241","False",""
"1","night","p25","1.7725","-2.81476531036791","-5.60420089847362","-0.0990100383290837","True","*"
"1","night","p50","4.249","-6.87450144053889","-12.99644210497","-1.0842363297858","True","*"
"1","night","p75","10.735","-4.69966945225584","-30.2155373233854","15.816337982864","False",""
"1","night","p90","21.9045","-18.5363794900277","-39.508934294741","-0.716655414473588","False","*"
"1","night","p95","32.66507","-15.4676635591633","-41.5493025110327","5.80821599758189","False",""
"2","compound","p25","2.475","-0.621801443405623","-5.11834566919747","3.68239852653072","True",""
"2","compound","p50","5.99000000000001","0.367103441580907","-9.1986009119696","9.09486024804426","True",""
"2","compound","p75","12.48609375","-6.48174838657576","-14.3830592300348","0.873758616129128","False",""
"2","compound","p90","31.7807576271187","-0.373098741515809","-8.77607176648903","7.38074295786582","False",""
"2","compound","p95","48.4850000000001","1.41594591509482","-8.19127184213027","10.1700575810132","False",""
"2","day","p25","1.67550000000001","-1.77656487144087","-6.29254941111661","2.5475518799884","True",""
"2","day","p50","4.2410784671533","-3.70084699660642","-13.72263672071","5.43777406231039","True",""
"2","day","p75","9.05168750000004","-4.58058011382461","-15.2060803915394","5.06492626280427","False",""
"2","day","p90","18.758125","-11.1908175357982","-24.7040667080003","0.858101658957367","False",""
"2","day","p95","31.41","-22.0764042536518","-45.8515297664007","-2.17684037575379","False","*"
"2","night","p25","1.315","0.564219785538533","-2.29821498112266","3.34655996995404","True",""
"2","night","p50","3.575","1.61245825113424","-5.67354241169804","8.39610227438333","True",""
"2","night","p75","9.17333333333336","3.79607717563455","-8.93376464895117","15.0383281380006","False",""
"2","night","p90","20.18","-16.1602128278246","-66.07335552868","18.751596237391","False",""
"2","night","p95","37.948","5.04982688295005","-13.6512427540995","20.6736753907378","False",""
"3","compound","p25","2.004125","-7.39862706081562","-23.8562203181012","6.87213718516461","True",""
"3","compound","p50","4.0440625","-8.42672255549486","-40.7844935472885","16.4939698406673","True",""
"3","compound","p75","6.475","-11.9879156861662","-50.5897978891118","16.7188386230071","True",""
"3","compound","p90","10.37931","-26.3779092500925","-45.0016411495396","-10.1461736557409","False","***"
"3","compound","p95","12.645","-27.9234166482473","-54.0508583813316","-6.22725961353146","False","**"
"3","day","p25","1.32","-7.87476224175865","-19.1682119347354","2.34841876213475","True",""
"3","day","p50","2.86999999999998","-15.6792732199408","-41.4982084368687","5.42852520522106","True",""
"3","day","p75","5.38","-22.5617097154715","-68.9690595559689","11.099862141306","True",""
"3","day","p90","8.30600000000015","-26.0688633419128","-91.6822099861227","17.0848546379316","False",""
"3","day","p95","11.25205","-29.5698246766523","-97.6873514723326","15.076309426463","False",""
"3","night","p25","1.19","0.0818563513885318","-5.2883230895818","5.17813241559328","True",""
"3","night","p50","2.49","0.35047708644993","-9.32968910675751","9.17355113667492","True",""
"3","night","p75","4.93578125","4.2461251319365","-11.1856216569496","17.5360589291118","True",""
"3","night","p90","7.50775000000001","0.291451242962548","-22.3390929341135","18.7357494910582","False",""
"3","night","p95","10.112","-2.48253999154362","-33.6989460426698","21.445371755089","False",""
"4","compound","p25","2.465","-10.4276696570632","-33.2206487854095","8.46561447443573","True",""
"4","compound","p50","4.41150000000001","-16.1326530952518","-51.4838558083501","10.9687758938159","True",""
"4","compound","p75","7.97600000000004","-1.22874972860119","-69.2892521067996","39.4689288062359","False",""
"4","compound","p90","11.5591666666667","-21.818640851669","-97.0641948990992","24.6956999644396","False",""
"4","compound","p95","14.91","-8.32095916336402","-33.797661345031","12.3046690344343","False",""
"4","day","p25","1.21","-6.2293891834132","-12.4632442802113","-0.341077642792897","True","*"
"4","day","p50","2.71999999999999","-12.6702073723581","-26.1863896229286","-0.601781755260911","True","*"
"4","day","p75","5.08","-11.0822069808615","-29.7118468793527","4.87178307455669","True",""
"4","day","p90","8.77999999999999","-3.52105456789928","-31.8417934280965","18.7161486490657","False",""
"4","day","p95","11.267875","-4.50843102998997","-44.0597705104624","24.184162465003","False",""
"4","night","p25","1.265","4.88813156409121","-0.994516606414542","10.4281319289461","True",""
"4","night","p50","2.91","8.86009767918492","-1.77481076967645","18.3837166364685","True",""
"4","night","p75","5.54000000000001","10.5373935136009","-3.27980656311495","22.5060713640156","True",""
"4","night","p90","9.4734","-1.74255790750908","-31.8158048099079","21.4695983953453","False",""
"4","night","p95","12.5112","0.748754933195339","-26.4398148440444","22.0909200202383","False",""
