"cluster","heatwave_type","display_high","common_support_high","marker_25","marker_50","marker_75","marker_90","y_min","y_max","n_cities","lag_max","show_u","total_positive_exposure_trips","trip_share_5pct_count"
"1","compound","51.829999999999984","6.72","3.115875","7.09","15.71","29.48","-0.1897329341515909","0.04495324690328843","18","11","False","76628","3831"
"1","day","50.45539999999999","7.94000000000001","1.964615625","4.64","10.36","20.1474","-0.29273768720151316","0.055334757661837236","18","11","False","93646","4682"
"1","night","50.321399999999976","6.72","1.7725","4.249","10.735","21.9045","-0.21658220726394184","0.11642645194946454","18","11","False","35618","1781"
"2","compound","71.2445583333333","6.72","2.475","5.99000000000001","12.48609375","31.7807576271187","-0.10705753240245977","0.11385599294964191","14","11","False","41597","2080"
"2","day","56.930000000000014","7.94000000000001","1.67550000000001","4.2410784671533","9.05168750000004","18.758125","-0.19041843941222836","0.05559965852954929","14","11","False","97265","4863"
"2","night","64.73799999999997","6.72","1.315","3.575","9.17333333333336","20.18","-0.17905660973249576","0.9699169299448598","14","11","False","13696","685"
"3","compound","19.554900000000004","6.72","2.004125","4.0440625","6.475","10.37931","-0.5720538576064078","0.290667706611632","11","7","False","8903","445"
"3","day","15.560000000000258","7.94000000000001","1.32","2.86999999999998","5.38","8.30600000000015","-0.7171844134675951","0.2752001852476713","11","7","False","18058","903"
"3","night","14.720750000000027","6.72","1.19","2.49","4.93578125","7.50775000000001","-0.22500873715425943","0.2813388759634803","11","7","False","6095","305"
"4","compound","21.485000000000028","6.72","2.465","4.41150000000001","7.97600000000004","11.5591666666667","-0.7403118287227907","0.4379963651881861","20","11","False","10363","518"
"4","day","18.200000000000017","7.94000000000001","1.21","2.71999999999999","5.08","8.77999999999999","-0.5503505292741933","0.27232551148440687","20","11","False","37157","1858"
"4","night","16.0","6.72","1.265","2.91","5.54000000000001","9.4734","-0.14813805760608026","0.3148264779985967","20","11","False","6856","343"
