"exhibit_id","exhibit_type","module","code_entry","input_data","submitted_output","figshare_dependency","reproduction_level","status"
"Main Figure 1","main","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/main/main_figure_01.jpeg","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Main Figure 2","main","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_main_figure2.py; analysis_code/02_ppml_post_event/code/make_figure2_panels.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/main/main_figure_02.png","self_contained_compact_redraw","direct_quantitative_redraw; submitted_layout_reference_supplied","mapped"
"Main Figure 3","main","03_dtw_phenotypes","analysis_code/03_dtw_phenotypes/code/cluster_dtw_ward_k4.py; analysis_code/03_dtw_phenotypes/code/make_lowess_lag_decision_figure.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/03_dtw_phenotypes/data/results","figures/main/main_figure_03.jpeg","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Main Figure 4","main","04_dlnm_response","analysis_code/04_dlnm_response/code/fit_city_dlnm_primary_p50_p90.R; analysis_code/04_dlnm_response/code/pool_city_specific_p50_p90_curves_pointwise.R; analysis_code/04_dlnm_response/code/make_figure4_panels.py","analysis_code/04_dlnm_response/data/model_reporting_input; analysis_code/04_dlnm_response/data/main_figure_input","figures/main/main_figure_04.png","self_contained_compact_redraw","direct_panel_redraw","mapped"
"Main Figure 5","main","05_be_meta_regression","analysis_code/05_be_meta_regression/code/make_figure5_ab.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_c.ipynb; analysis_code/05_be_meta_regression/code/make_figure5_d.ipynb","analysis_code/05_be_meta_regression/data/figure5_ab; analysis_code/05_be_meta_regression/data/figure5_c; analysis_code/05_be_meta_regression/data/figure5_d","figures/main/main_figure_05.jpeg","self_contained_compact_redraw","panel_level_reproduction","mapped"
"Main Figure 6","main","06_future_projection","analysis_code/06_future_projection/code/make_figure6_maps.py; analysis_code/06_future_projection/code/make_figure6_ad.py; analysis_code/06_future_projection/code/make_figure6e.py; analysis_code/06_future_projection/code/make_figure6f.py","analysis_code/06_future_projection/data/maps; analysis_code/06_future_projection/data/all_scopes_plot_ready_timeseries_yearly.csv; analysis_code/06_future_projection/data/figure6e; analysis_code/06_future_projection/data/figure6f","figures/main/main_figure_06.png","city_center_coordinates_75cities_for_spatial_reference","panel_level_reproduction","mapped_to_compact_source"
"Extended Data Figure 1","extended_data","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/extended_data/extended_data_figure_01.png","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Extended Data Figure 2","extended_data","01_descriptive","analysis_code/01_descriptive/code/identify_heatwaves.py; analysis_code/01_descriptive/code/summarize_heatwave_factors.py","controlled descriptive source tables defined by module schemas","figures/extended_data/extended_data_figure_02.png","review_record_spatial_reference","method_archive_and_submitted_reference","reference_mapped"
"Extended Data Figure 3","extended_data","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/extended_data/extended_data_figure_03.png","self_contained_compact_redraw","direct_or_panel_level","mapped"
"Extended Data Figure 4","extended_data","02_ppml_post_event","analysis_code/02_ppml_post_event/code/make_figure2_panels.py; analysis_code/02_ppml_post_event/code/make_city_lag_atlas.py","analysis_code/02_ppml_post_event/data/city_lag_estimates_12day.csv; analysis_code/02_ppml_post_event/data/city_lag_estimates_7day.csv","figures/extended_data/extended_data_figure_04.jpeg","self_contained_compact_redraw","direct_or_panel_level","mapped"
